Município,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais,Total
260450 Chã Grande,1.622,1.644,1.628,1.754,1.928,1.723,1.687,1.72,1.737,1.421,1.091,955,843,676,572,358,456,21.815
260460 Condado,2.087,2.127,2.113,2.191,2.297,2.069,1.881,1.964,1.917,1.695,1.506,1.271,1.051,796,633,459,533,26.59
260470 Correntes,1.466,1.482,1.436,1.432,1.489,1.552,1.546,1.424,1.22,989,899,765,692,624,474,331,447,18.268
260480 Cortês,996,1.023,1.013,1.132,1.122,1.109,1.057,1.017,895,772,659,545,406,294,223,139,158,12.56
260490 Cumaru,644,700,721,729,806,716,740,750,723,620,639,575,483,414,336,258,338,10.192
260500 Cupira,1.73,1.768,1.794,1.971,2.083,2.151,1.962,1.851,1.701,1.511,1.251,1.098,877,759,639,446,581,24.173
260510 Custódia,2.715,2.911,2.938,2.743,2.864,2.956,3.155,2.864,2.567,2.236,2.217,1.869,1.437,1.211,1.002,745,945,37.375
260515 Dormentes,1.589,1.601,1.534,1.489,1.67,1.602,1.559,1.355,1.247,1.155,1.004,839,706,550,497,308,374,19.079
260520 Escada,5.095,5.201,5.307,5.885,6.142,5.889,5.933,5.742,5.141,4.352,3.952,3.295,2.474,1.716,1.222,956,990,69.292
260530 Exu,2.792,2.778,2.606,2.496,2.622,2.522,2.565,2.192,1.979,1.745,1.689,1.416,1.184,897,864,620,799,31.766
260540 Feira Nova,1.599,1.645,1.62,1.721,1.808,1.801,1.749,1.659,1.622,1.39,1.243,1.115,857,807,626,426,559,22.247
260545 Fernando de Noronha,206,194,203,219,256,259,282,335,263,243,231,205,107,53,23,8,14,3.101
260550 Ferreiros,899,905,905,987,995,952,906,1.019,927,739,666,594,474,406,318,218,260,12.17
260560 Flores,1.627,1.647,1.609,1.72,1.604,1.71,1.76,1.641,1.546,1.382,1.361,1.207,941,820,721,585,737,22.618
260570 Floresta,3.008,3.008,3.047,2.992,3.038,2.846,2.681,2.373,2.089,1.784,1.538,1.263,928,782,710,487,610,33.184
260580 Frei Miguelinho,1.011,1.054,1.055,1.052,1.107,1.235,1.282,1.203,1.102,914,919,829,648,584,556,406,589,15.546
260590 Gameleira,2.427,2.535,2.507,2.998,3.101,2.959,2.608,2.649,2.111,1.84,1.534,1.222,922,673,491,393,348,31.318
260600 Garanhuns,10.696,11.026,11.416,11.484,12.075,11.15,11.391,10.914,10.07,8.424,7.562,6.527,5.245,4.262,3.354,2.263,2.718,140.577
260610 Glória do Goitá,2.277,2.311,2.229,2.348,2.542,2.642,2.553,2.45,2.196,1.995,1.655,1.426,1.135,952,794,542,654,30.701
260620 Goiana,5.732,5.94,6.133,6.494,6.516,6.484,6.207,6.352,5.987,5.388,4.794,4.008,3.2,2.388,1.774,1.229,1.429,80.055
260630 Granito,608,613,590,672,633,589,660,489,513,426,391,317,267,198,211,164,196,7.537
260640 Gravatá,5.648,5.939,6.112,6.667,7.188,7.157,6.732,6.75,6.218,5.666,5.008,4.2,3.344,2.632,2.072,1.485,1.881,84.699
